"Marcaj de timp","Scrie aici conversația. Fii creativ !"
"2019/06/11 9:02:17 p.m. GMT+3","Buna , Robert !
Buna,Tanase !
Ce faci?
Bine , tu?
La fel de bine ca si tine .
Ce ai facut in weekend-ul acesta  ?
Bine ,m-am dus la ziua unui amic . A fost foarte frumos acolo.
Si ce ati facut ? 
Pai , am dansat foarte mult , m-am distrat la maxim acolo. Tu ce ai facut in weekend-ul acesta ?
Eu m-am dus in vizita la bunicii mei , a trebuit sa ii ajutam la ceva .
Si vremea cum a fost?
A fost foarte cald si insorit acolo , in timpul liber am stat si m-am bronzat.
Parintii tai au fost cu tine ?
Am fost cu parintii si fratele și sora mea.
Ne-au ajutat si niste vecini . Sunt niste oameni de treaba .
Cine, nea' Ilie si tanti' Leana :) ?
Da . Sa stii ca m-am intalnit si cu bunicii tai acolo.
Si ce ti-au zis?
Pai , mi-au zis ca le este foarte dor de tine si vor sa-ti auda vocea la telefon sau sa le faceti o vizita tu si parintii tai .
Mi-au dat ceva , sa-ti dau .Iata !
Wooooow , exact ce mi-am dorit! Un mp3 player nou . 
O sa ii sun imediat ce ajung acasa , pentru a le multumii bunicilor mei.
Okay . O sa fie foarte mandrii de tine daca vor auzi ca ti-a placut cadoul daruit de ei.
Multumesc , pe maine !
Pe maine . :)"
"2019/06/11 9:02:29 p.m. GMT+3","Alina, îţi mai aduci aminte de excursia de la mare?
Da, a fost foarte frumos
Şi cât de frumoasă era priveliştea,
Şi apa era foarte plăcută, 
Ce frumos ne-am distrat atunci, 
Da, am înotat, am făcut scufundări
Şi am mers cu barca,
Într-adevăr, a fost o excursie minunată.
Abia aştept următoarea excursie la mare.
Şi eu. Vreau să mergem la acelaşi hotel. Oamenii erau minunaţi.
Într-adevăr, am avut parte de nişte chelneri şi colegi de hotel super buni.
Ideea lor cu scoicile de mare în hotel e minunată.
Ai dreptate, mi-au plăcut la nebunie
Şi mâncarea fusese foarte, foarte bună.
Da, fructele de mare sunt extraordinare"
"2019/06/11 9:02:47 p.m. GMT+3","hey
hey 
mergem la mare ?
daa
bine
stai sa le chem si pe fete sa vină cu noi
bine, o sa îi chem si pe prieteni mei
bine
hai să mergem 
hai
ne băgăm in apă toți?
daaa
eu nu ma bag in apă 
de ce?
ca nu stiu sa inot
te invăț eu daca vrei
bine
bun deci lasă-te moale si te țin eu 
bine dar sa ma ți bine 
da
alina te bag sub apă
nuu
te rog aşa nu iţi înfrângi frica
bine 
1, 2, 3 şi 
stai 
acum hai sus, alina 
nu respira 
bagă-te după ea ca tu ai lăsat-o sa se înece!!
bine acum nu mai țipa! ajutați-ma sa o duc la mal 
ma duc sa chem salvarea
bine"
"2019/06/11 9:02:58 p.m. GMT+3","Salut!
Salut!
ce faci?
bine stau,tu?
bine si eu, pot sa te intreb ceva?
da spune
imi imprumuti o carte?
ce fel de carte?
Fram ursul polar
scuze dar nu am cartea aia dar poți să mergi la biblioteca județeană
bine dar.......
dar ce?
Nu ştiu drumul spre biblioteca. Poti sa vi cu mine ?
nu ştiu, mă duc să o intreb pe mama dacă ma lasă
bine 
o zis mama că mă lasă să vin cu tine
bine hai
vrei să iți iei si tu o carte?
da
bine
hai să vedem ce carte vrei
aş vrea Făt-Frumos din lacrimi
super
tu ți-ai luat?
da
bine hai acasa
bine"
"2019/06/11 9:20:59 p.m. GMT+3","Servus!
Servus!
Ştii cumva ce fac eu?
Ce faci?
Poți ghici?
Hmm... citeşti?
Nu.
Pierzi vremea pe Facebook.
Da, dar nu la asta mă refeream.
Să ştii că încă nu am obținut diploma de medium.
Interesant. Spune-mi o glumă!
Cioc, cioc
Cine e?
Bot
Care Bot?
Andy - chatbot
Bună glumă
Mulțumesc!
Pa
Pa pa"
"2019/06/11 9:31:00 p.m. GMT+3","Salut! 
Salut!
Unde mergem în vacanță?
Vom merge la mare.
Şi cât vom sta ?
Vreo 3 luni.
Dar, unde vom sta la hotel?
Nu ştiu o sa vad eu.
Pot să vină şi ai mei?
Da ,vor sta cu ai mei pe terasă. 
Hai să o chem şi pe Maria.
Bine ,hai să mergem să îi spunem .
Hey,Maria ce faci ?
Bine am iesit cu căinele.Tu ce faci?
Bine,am vrut să te intreb dacă vrei să vii cu noi la mare?
Da ,vin daca tot m-ai chemat .
Bine ,haide! Să-ți faci bagajele. 
Şi mai vreau să o chem şi pe Laura .
Hai să mergem să îi spunem dacă vrea să vina şi ea cu noi 
Hey Laura,ce faci?
Bine ma gândeam sa ma duc in vacanță. 
Bine am venit sa te intreb dacă vrei să vii cu noi la mare ?
Da,o sa vin.
Bun acum putem pleca"
"2019/06/11 9:31:42 p.m. GMT+3","Hey Roxy ,vrei să mergem azi la un film?
Da ,dar la ce oră trebuie să mergem si la ce film ne uitam ? 
La ora 16:00 începe si filmul se numeste Herry Potter.
Da hai sa o chemăm si pe Maria si Laura daca vrei?
Bun hai sa mergem după ele sa le spunem. 
Hey Maria ,ce faci?
Bine am venit in parc cu niste fete voi?
Am venit sa te întreb dacă vrei să vii cu noi la film ?
Da ,vin ca ma plictisesc acasa. 
Ok.
Acum haideți să mergem
după Laura. 
Hey Laura, ce faci ?
Bine , am venit sa ma plimb voi?
Am venit sa te întrebam dacă vrei să vii cu noi la film?
Bine vin.
Ok 
Putem merge acum"
"2019/06/11 9:32:19 p.m. GMT+3","Trebuie să facem acum o salata pentru masa 3 .
Bun câte trebuie?
Ar trebui 2 la masa 3 si una la masa 3 .
Altceva comenzi mai avem?
Nu am terminat pe ziua de azi . 
Bun acum putem merge acasa?
Nu pentru ca avem o nuntă .
Dar vom sta mult?
Nu veti servi si puteti pleca si intra cei de pe tura 2.
Ok?
Putem începe treaba"
"2019/06/11 9:32:49 p.m. GMT+3","Salut!
Salut!
Ce faci?
Bine, uite acum merg acasa tu ce faci?
Am fost pâna la biblioteca. 
Ce  carte ti-ai luat?
Sa-mi zici numele ca vreau să o citesc si eu.
Totul despre corpul uman.
Multumesc!"
"2019/06/11 9:33:56 p.m. GMT+3","Buna,Darius cum ti s-au părut temele?
Buna ,Andrei! Mi sau părut foarte usoare mai ales la exercițiul 2.
Da inca foarte ușoare.
Dar când va veni doamna de religie?
Păi....am ceasul  dar si ca ea mai intârzie.
A ok...... dar cât mai este pâna se suna de intrare?
Peste 12 minute va sosi si doamna.
După 12 minute a sosit doamna si convorbirea a fost încheiată.
Au salutat si au inceput ora"
"2019/06/12 9:38:03 a.m. GMT+3","Diana,ți-am spus că m-am mutat? 
Unde?
Într-o casă nouă, la malul lacului. 
Wow! 
Cam de o săptămână am făcut această schimbare. 
Ai amenajat toată casa? 
Aproape, dar mai este puțin de lucru. 
Aş putea să vă fac o vizită? 
Da,cu mare plăcere! 
Când?
Vino diseară la cină, pe la ora 19!
Foarte bine, de ce ai nevoie la o casă nouă? 
Doamne, nu trebuie să aduci ceva, e suficient să vii tu.
Mulțumesc, voi merge prin oraș să văd ce găsesc şi voi veni.
Te așteptăm și sper să ne simțim bine! 
Mulțumesc,vin!
"
"2019/06/12 9:51:20 a.m. GMT+3","Bună,domnul doctor!
Bună ziua, Fred!Nu mă așteptam să vă văd deja în oraș! 
Mă simt foarte bine! 
Mă bucur să aud aceasta, totuși trebuie să aveți grijă! 
Încerc să nu mănânc mult, fără zahăr şi grăsimi și să fac multă mișcare. 
Foarte bine,nu uitați să antrenați şi mintea! 
Da,deocamdată încerc să nu mă mai supăr şi să înlătur stresul. 
Începeți cu puțină lectură ca să nu vă obosiți ochii. 
La televizor nu prea stau.
Mai bine v-ați ocupa timpul ascultând muzica. 
Chiar mai mult , cânt dimineața la pian.
Sunteți grozav! 
Doar încerc să duc o viață normală! 
Sănătate să aveți domnule Fred și să vă bucurați de tot ce este frumos. 
Mulțumesc şi dumneavoastră domnule doctor! 
Toate cele bune! "
"2019/06/12 10:44:14 a.m. GMT+3","Buna!
Salut!
Ce mai faci? 
Ai auzit de sezonul din Stranger Things?
Daaa, de abia aștept!
Vreau să văd ce se întâmplă până la urmă între 11 și Mike.
Eu cred că vor fi împreună!
Și eu cred la fel!
Dar cu Will? Ce se va întâmpla?
Nu știu, dar presupun că iar va avea acele coșmaruri.
Dar, am o curiozitate.
Cum se vor juca așa mari?
Nu știu, pentru că acum sunt prea mari să mai joace rolurile de copii.
Și, plus că ar trebui să îi răpească cineva.
Cum să-i răpească cineva?
Dar e prea lungă așteptarea până în 4 iulie!
Știu dar nu avem ce face.
Ție ți-ar plăcea să joci în Stranger Things?
Oooo și încă cum?
Să fii sora lui Noah?
Nu, niciodată.
Plus că trebuie să vorbești limba engleză.
Da, dar să vezi numele noastre pe un afiș la Hollywood?
O, my Good!"
"2019/06/12 11:05:17 a.m. GMT+3","Buna ziua, domnule Jeffrey Dean Morgan. Aș dori să vă adresez câteva întrebări, asta dacă aveți timpul disponibil.
Bine, aș putea răspunde la câteva întrebări.
Bun, să începem. Cum vedeți reputația personajului Negan din sezonul 9?
Reputația sa devine din ce în ce mai bună deoarece dorește să fie acceptat în societate în ciuda faptului că a fost destul de rău în fața comunității.
A fost un personaj destul de inactiv în acest sezon, oare cum va fi în sezonul următor?
Rolul principal a fost axat pe personajul Michonne în acest sezon, iar Negan, fiind aflat într-o celulă a trebui să fie inactiv.
În sezonul următor va avea un rol principal?
Nu doresc să dau mai multe detalii.
Venirea celui de al doilea copil v-a schimbat viața, cum , în ce fel?
Viața mea a devenit foarte frumoasă, dar și obositoare. Suntem cu toții fericiți!
Domnule Jeffrey, vă mulțumesc că mi-ați acordat acest interviu.
Vă mulțumesc și eu!
Toate cele bune!"
"2019/06/12 12:58:31 p.m. GMT+3","Salut!
Salut!
Ce planuri ai pentru vacanța de vară?
Voi merge la mare cu familia,tu?
Eu merg în  tabără cu niște prieteni. 
"
"2019/06/12 1:11:57 p.m. GMT+3","Care e artistul tău preferat?
Artistul meu prefarat este Alec Benjamin. Al tău?
Eu am o artistă preferată, Billie Eilish. "
"2019/06/12 5:46:16 p.m. GMT+3","Mă bucur că am ocazia să cânt împreună cu tine! 
Și eu mi-am dorit să cântăm împreună! 
Dacă stăm să ne gândim bine nu am cântat de vreo 5 ani.
Da, eu am fost mai  mult plecat în turneu prin țară. 
Probabil că este un motiv că nu ne -am întâlnit. 
Ştii ce vreau să te întreb? 
Nu ştiu, ce anume? 
Ai cântat vreodată într-o sală mai puțin obişnuită? 
Ooooo, da!În alte țări europene e ceva normal să ți un concert într -un atelier service de motociclete sau mașini. 
Așa mai ascultă lumea și altceva.
Da este o soluție se mai imblânzeşte lumea asta nebună.
Crezi?
Da,încă mai sper. Eu cred că lumea se poate face mai bună numai prin iubire. 
Într-adevăr muzica clasică e armonie, fiecare instrument își așteaptă rândul. 
Ehhh,dacă ar fi așa şi între oameni. 
Întreaga lume ar auzi doar sunete și melodii care ar face viața mai frumoasă.

"
"2019/06/12 6:24:42 p.m. GMT+3","Bună seara, dragi prieteni!Astăzi avem o emisiune specială cu un invitat special : președintele Donald Trump!
Bună seară tuturor ascultătorilor!
Cum vă simțiți domnule președinte acum după ce ați câştigat al doilea mandat? 
Încrezător în forța poporului şi în Dumnezeu! 
Ce vă propuneți pentru următorii ani? 
Să fie pace în lume, să eradicăm sărăcia și să diminuăm efectele încălzirii globale. 
Planuri înalte, să sperăm că vor fi realizate.
Trebuie să încercăm !
În ceea ce privește terorismul care vor fi măsurile în această direcție? 
Nu pot să dau prea multe detalii. Evident că şi acest aspect este în obiectivul nostru, dar este mai bine să nu dăm detalii. 
Care este programul unei zile de muncă al unui președinte? 
De dimineață mă consult cu cei mai înțelepți consilieri pentru a lua cele mai bune decizii în ziua respectivă. 
Căt durează aceste consultări? 
Depinde de situație! 
Apoi?
Au loc întâlnirile programate cu diverși oameni de stat, de ştiință, de afaceri etc.
Timp liber aveți?
Da,timpul meu liber este cel pe care îl petrec în mașină pentru a ajunge la destinație. 
Mulțumesc pentru timpul acordat! 
Să auzim de bine! "
"2019/06/13 12:27:30 a.m. GMT+3","Cum ți s-a părut petrecerea?
Îngrozitoare! 
De ce?
E o adevărată plictiseală să tot mănânc și să bei atâtea ore.
Atunci de ce ai mai rămas? 
Era prea evidentă nemulțumirea mea!
Şi ce dacă? așa ți-ai pierdut vremea.
Era o noapte așa de frumoasă, caldă,iar luna chiar îmi făcea o lumină pentru a vedea lucrurile din altă perspectivă. 
Ce vrei să spui? 
Că nu a fost neapărat pierdere de vreme, am meditat la rostul lumii.
Și mie îmi plac nopțile de vară,sunt un prilej de a te gândi și răzgândi la viitor. 
Da,dacă nu te bulversează stresul,toată agitația din oraș,telefoanele clienților şi zgomotul mașinilor. 
Dar ce treabă au toate astea cu farmecul nopților de vară? 
Păi, toată nebunia te afectează și uiți de tine.
A, înțeleg. 
Plus că noaptea se mai răcorește, e mai suportabil.
Iar căldura zilei te adoarme.
Lasă că e mai bine cald decât frig.
Și eu spun asta. 
Iarna și frigul te pătrund până paralizezi. 
Iar vara căldura te adoarme. 
Te poți răcori cu o limonadă sau dacă nu ai probleme cu o înghețată.
Sau Îți poți muta activitatea noaptea pe răcoare. 
Iar ajungem  la farmecul nopților de vară. 
Da, sunt de neuitat, sub cireș sau tei.
Ai dreptate! 
Scuze, trebuie să răspund la telefon. 
Nicio problemă, eu mă retrag în birou pentru a-mi  termina munca.
Spor la treaba! 
Mulțumesc, mai povestim în altă pauză. 


"
"2019/06/13 1:41:36 a.m. GMT+3","Bună ziua ! 
Bună ziua ! Cum vă simțiți azi ?
Bine , dar dumneavoastră?
La fel de bine ca dumneavoastră!"
"2019/06/13 1:42:18 a.m. GMT+3","Buna! 
Salut !Cum te mai simti ? 
Foarte bine ,dar sunt foarte indispus. 
De ce ?
Pentru ca am primit un patru la matematica.
Offff ce rau .
Stiu . 
Nu ai vrea sa mergem intr-o excursie la munte?
Da ar fi foarte frumos !
M-am îmbrăcat .De unde te iau ?
Din fata blocului .
Bine acuma vin . 
Unde esti ?
În fata blocului . 
Urca în fata . 
Ma bucur ca ai acceptat sa fi .  
Si eu .
Uite ce frumos ! 
Foarte frumos  
Unde vom dormi ? 
Vom dormi cu cortul in padure langa natura . 
Ura ! 
Of acum plecam fiecare pe druml lui . 
Da ne vedem saptamâna viitoare 
Pa "
"2019/06/13 1:42:42 a.m. GMT+3","Bună ziua ! 
Bună ziua copii!
Azi dăm test ?
Da , v-ați pregătit ?
Puțin.
Dar din ce dăm test?
Din unități de măsură.
Perfect pentru că am învățat cu toții.
Și la română când dăm test?
După testul de matematică!
Scoateți o foaie de hârtie și imediat o să vă dau subiectele !
Bine , așteptăm testul !
A fost ușor testul copii?
Da , a fost foarte ușor!
Ați știut?
Da, luăm toți zece!
Ok , să vă pregătiți tot așa de bine și la română!
Bine , doamna învățătoare!
Scoateți o foaie că dați test la română !
Bine ,o sa fie ușor?
O sa vedeți!
Copii a fost ușor testul?
Așa și așa!
Ce nota credeți că luați?
Opt sau nouă?
Nouă !
Toti copii au luat 10!
Nu cred !
Au trecut toți în clasa a 5 iar ei au plâns că nu au mai fost cu învățătoarea lor!
Succes mai departe copii!"
"2019/06/13 1:43:54 a.m. GMT+3","Bună ziua!
Bună ziua ! 
Cum vă simțiți astăzi? 
Foarte bine,mulțumesc de întrebare ! Dar voi ?
Extraordinar! Ne bucurăm ca avem oră cu dumneavoastră! 
Vai,mă bucur sa aduc atâtea bucurii în sufletele voastre! Astăzi vom merge în pădure în căutare de ciuperci !
Ura! Ne pregătim și putem porni la drum! 
 Wow! Ce frumoasă este pădurea! 
 O să mergem toți grupați pentru că există riscul de a ne pierde!
Domn profesor!  Domn profesor ! Am găsit o ciupercă imensa ! De jumătate de metru !
Felicitări, Magda ! Sunt mândru de tine ! "
"2019/06/13 1:45:23 a.m. GMT+3","Salut!
Salut! Ce faci??
 bine tu?
 tot bine 
cum te cheama?
Andrei, pe tine?
 Alina
 ce frumos nume
 mulțumesc
 cu plăcere
 cați ani ai?
 15, tu cati ani ai?
 13
mergem la o inghețată??
da
vi cu bicicleta?
nu 
bine dar cu ce vi?
cu trotineta
bine, vin si eu 
bine
de care inghețată preferi?
de ciocolata
mergem numai noi sau mai vine cineva?
da mai vin si 2 prieteni de ai mei, cheamă si tu pe 2 prietene de ale tale
bine 
uite ca au venit
ce bine
ele sunt prietenele mele: Maria si Adriana
bună
bună
pe prieteni mei ii cheama: Rafa si marcel
bună
hai sa luam inghețată
ce frumos a fost azi poate ne mai vedem 
da 
bine paa
paaa"
